timestamp,source_file,row_reference,issue_type,issue_description,action_taken
2026-08-18T21:01:11.651821,source1_naukri_applicants.csv,2,PHONE_FORMAT,Raw phone '+919000000254' contained prefix/delimiters,Normalized to 10-digit '9000000254'
2026-08-18T21:01:11.656379,source1_naukri_applicants.csv,2,DATE_FORMAT,Raw date '24-07-2026' (fmt %d-%m-%Y),Normalized to ISO '2026-07-24'
2026-08-18T21:01:11.656401,source1_naukri_applicants.csv,3,CITY_NAME,Raw city 'GURGAON' mapped,Normalized to 'Gurugram'
2026-08-18T21:01:11.656702,source1_naukri_applicants.csv,4,PHONE_FORMAT,Raw phone '09000000287' contained prefix/delimiters,Normalized to 10-digit '9000000287'
2026-08-18T21:01:11.656714,source1_naukri_applicants.csv,4,CITY_NAME,Raw city 'GURGAON' mapped,Normalized to 'Gurugram'
2026-08-18T21:01:11.656748,source1_naukri_applicants.csv,4,DATE_FORMAT,Raw date '01-08-2026' (fmt %d-%m-%Y),Normalized to ISO '2026-08-01'
2026-08-18T21:01:11.656764,source1_naukri_applicants.csv,5,CITY_NAME,Raw city 'GURGAON' mapped,Normalized to 'Gurugram'
2026-08-18T21:01:11.657084,source1_naukri_applicants.csv,5,DATE_FORMAT,Raw date '7 Jul 2026' (fmt %d %b %Y),Normalized to ISO '2026-07-07'
2026-08-18T21:01:11.657104,source1_naukri_applicants.csv,6,PHONE_FORMAT,Raw phone '+919000000288' contained prefix/delimiters,Normalized to 10-digit '9000000288'
2026-08-18T21:01:11.657107,source1_naukri_applicants.csv,6,CITY_NAME,Raw city 'pune' mapped,Normalized to 'Pune'
2026-08-18T21:01:11.657123,source1_naukri_applicants.csv,6,CTC_UNIT_CONVERSION,Raw CTC '4.2' recognized as LPA (4.2 LPA),"Converted to full annual INR 420,000"
2026-08-18T21:01:11.657147,source1_naukri_applicants.csv,6,DATE_FORMAT,Raw date '19-07-2026' (fmt %d-%m-%Y),Normalized to ISO '2026-07-19'
2026-08-18T21:01:11.657162,source1_naukri_applicants.csv,7,PHONE_FORMAT,Raw phone '+919000000143' contained prefix/delimiters,Normalized to 10-digit '9000000143'
2026-08-18T21:01:11.657362,source1_naukri_applicants.csv,7,DATE_FORMAT,Raw date '07/13/2026' (fmt %m/%d/%Y),Normalized to ISO '2026-07-13'
2026-08-18T21:01:11.657375,source1_naukri_applicants.csv,8,CITY_NAME,Raw city 'NOIDA' mapped,Normalized to 'Noida'
2026-08-18T21:01:11.657380,source1_naukri_applicants.csv,8,CTC_UNIT_CONVERSION,Raw CTC '8.3' recognized as LPA (8.3 LPA),"Converted to full annual INR 830,000"
2026-08-18T21:01:11.657409,source1_naukri_applicants.csv,8,DATE_FORMAT,Raw date '19 Jul 2026' (fmt %d %b %Y),Normalized to ISO '2026-07-19'
2026-08-18T21:01:11.657419,source1_naukri_applicants.csv,9,PHONE_FORMAT,Raw phone '09000000138' contained prefix/delimiters,Normalized to 10-digit '9000000138'
2026-08-18T21:01:11.657421,source1_naukri_applicants.csv,9,CITY_NAME,Raw city 'PUNE' mapped,Normalized to 'Pune'
2026-08-18T21:01:11.657450,source1_naukri_applicants.csv,10,PHONE_FORMAT,Raw phone '+919000000222' contained prefix/delimiters,Normalized to 10-digit '9000000222'
2026-08-18T21:01:11.657453,source1_naukri_applicants.csv,10,CITY_NAME,Raw city 'gurugram ' mapped,Normalized to 'Gurugram'
